text,policy
"where the local authority believes there is neither a need nor demand for social housing in or around a new development, and where there is a shortage of social and affordable units elsewhere in the local authority area, permission may be sought from housing ireland and the minister to accept a cash payment.",5
"around 850,000 free houses were built.",5
"keep record numbers of police on the beat,",6
and treating each case on its merits.,6
marketing ireland’s cities as smart cities and locations to pilot smart city innovation;,4
"this would assist to address the backlog of infrastructure projects, such as roads, bridges, community halls, libraries, paths, parks, water facilities and airports.",3
labour’s defence policy will be strategic and evidence-led.,6
social equity and ecological sustainability must be inherent in the way we respond to climate change.,5
this work was funded in budget 2011 including risk reserves and by annual increased budget allocation.,5
to develop a system of regulated companies to hire caregivers on behalf of families.,4
we must fashion imaginative ways of engaging governments and business in the effort to encourage developing nations to preserve their environmental heritage.,1
"provide more funding for the rcmp, specifically to give greater training to new recruits and specialists.",6
for the benefit of all citizens.,5
"in the light of the auld report, we will consider whether the defence should do so too.",6
where we are: a voting system rigged to benefit the powerful.,2
we called for an increase in the maintenance grant for third level students to reflect the true cost of living.,5
continue to work with the education endowment foundation to establish a comprehensive evidence base on what works in teaching.,5
• legislate so that it is an offence to carry an open container of liquor in the seating compartment of a vehicle.,6
and without brutally attacking peaceful protestors.,6
"by taking on the toughest cases, we can bring help and hope to individuals who may feel that society long ago left them behind.",5
"reliably enables governments to offer online interaction with citizens,",4
this is why we now have targets for the diversity of central government and other public services.,5
"proceed with the increased basic personal credit amounts, and the decrease in the lowest personal income tax rate, announced in november.",5
it is through this election that our beloved president nelson mandela assumed the helm with a commitment to build a better life for all south africans.,2
"we support state efforts to ensure ballot access for the elderly, the handicapped, military personnel, and all authorized voters.",2
"refocus the mandate of the canadian radio-television and telecommunications commission (crtc) to promote and protect canadian cultural industries,",5
these authorities will be chaired and coordinated by directly elected full-time mayors.,3
we entered the peace process with two goals:,5
"ensure a much stronger link between land and agrarian reform programmes and water resource allocation and ensure that the best quality of water resources reach all our people, especially the poor.",7
the territories’ economic stability and potential for growth must be considered in any trade agreements between the united states and other pacific nations.,4
since 2008 the number of maori and pacific students completing a bachelors degree has increased by 64 per cent and 84 per cent respectively,5
canadians on moderate and fixed incomes have been hit particularly hard in recent years.,5
"and an appreciation of each others' needs, interests and aspirations,",6
to facilitate the promotion of the biofuels industry.,4
"lastly, the green party government will confirm the core role of our military, clarify its purpose and equip it accordingly.",1
end all forms of homophobia and transphobia.,5
"labour’s ten-year goal is a maximum waiting time of three months as we become a healthier nation with fast, high-quality treatment, free at the point of use.",5
"kap will pursue policies that: mandate ethanol use in australia, providing structural support to grain and sugar industries;",7
"supporting tourism by ensuring irish cities are easily accessible digitally, navigable, and have apps and wi-fi to support this;",4
"protect the independence of the bbc and set up a bbc licence fee commission,",5
"-• ensure that all children have access to the best possible education, irrespective of sex, race, religion, socioeconomic background or place of residence;",5
"labour will promote the development of a south pacific conflict resolution facility, designed to serve as a regional focus for the peaceful settlement of disputes in the area.",1
32. the eff government will highlight employment targeting as the primary measure of fiscal.,7
economic mismanagement by successive governments has made new zealand a less attractive place for investment.,3
"new democrats are traders too, and consistently embrace multilateral approaches to solving global challenges.",1
"in government, the progressive democrats will enhance and strengthen the management capabilities of schools by:",3
"fianna fáil believes setting up a new delivery unit in the department of the taoiseach will help to ensure that delivery of the government programme is on track, with early identification of obstacles so that steps can be taken to rectify them.",3
under labour the tax system has become increasingly complex.,3
our standards for rented housing are among the lowest in the developed world. 2,4
these schools will work with other schools in their areas to help teachers improve the quality and quantity of physical education and sport.,5
national believes we can realise the economic benefits of new zealand's energy potential,4
"clean energy and climate change: at the recent united nations conference on climate change in montreal, prime minister martin issued a call to action in the following words:",5
"to add insult to injury, consecutive federal governments have allowed critical infrastructure to go without needed maintenance.",4
we will ensure activation schemes are of high quality and support job creation by shutting down the jobbridge and gateway schemes and making greater use of the jobsplus and community employment schemes.,5
a special deal that helps the northern ireland economy,4
and we will cut the middle class tax rates to 21 per cent from 22 per cent (a 4.5 per cent cut) and to 25 per cent from 26 per cent (a 3.8 per cent cut).,4
lgbti australians also continue to face a range of challenges in accessing government services as well as public participation in sport.,5
better flood management,4
"based on average doctors' fees, no child under five should pay more than $6 for a visit to the doctor.",5
further develop the prime minister’s youth mental health project.,5
"there will be no privatisation of meridian, genesis, and mighty river power, or transpower.",4
"this will support future policy development and better targeting of existing veterans’ support and services, as well as providing a benchmark against which homelessness prevention initiatives can be assessed and help avoid duplication of services.",5
people who might benefit from treatment should get the medical help they need so they can return to work,5
"transport costs have a disproportionate impact on the poor, who spend a significant portion of their monthly income on travel.",4
"28. the eff will establish a fund to support all african writers,",6
labour will take full responsibility for our carbon footprint instead of passing the buck.,5
"in this threatening global environment, we believe the government needs to urgently focus its spending on those who most need it,",5
$510 million to improve efficiency on the monash freeway.,4
"for more than a century, the anc has led our people in their aspiration for a united, non-racial, non-sexist, democratic and prosperous society, as the strategic goal of the national democratic revolution.",5
making more extensive use of mechanisms such as land swaps.,5
and also to ensure that we are getting the right generation in the right place.,4
"commuter rail: invest $1.6 billion to upgrade and electrify auckland commuter rail and $485 million to upgrade wellington commuter rail, alongside local councils.",4
we have a strong tradition of fostering positive interdependencies and building a robust sense of social solidarity in all our communities.,6
the president transformed the mission of the fbi to focus first and foremost on preventing terrorism.,6
report routinely and openly on budgetary surpluses.,2
 ensure there are sufficient community nurses and other welfare agencies so that people can be treated at home where possible;,5
"we will use renewed prosperity to invest in communities, raise living standards, improve quality-of-life and",5
"colleges of higher education will develop skills learnt at school, so that students are better prepared for the workplace or further studies.",5
"to allow for individuals to contest national and provincial elections,",2
"accessible and affordable childcare,",5
this includes the provision agreed to protect welfare benefits,5
"our prisons are overcrowded, understaffed, and rapidly becoming hotbeds of violence and islamist extremism.",6
"other countries are well ahead of new zealand in introducing utility approaches to roading and sophisticated, user-friendly pricing technologies.",4
"in his trip to washington in late april, prime minister martin also met with the leadership of the congress, a vital centre of decision-making in the u.s. government.",1
we will reform corporate governance to protect our leading firms from the pressure to put tomorrow’s share price before long-term growth potential.,4
"improve the basic skills of reading, writing and numeracy, especially at the elementary levels",5
"require local authorities to zone specific areas within their development plans in locations that will gain from transport 21 investments to establish a clear link between additional private gains, such as higher house prices,",3
"such as with part-time work, and to help carers re-integrate back into the work place once their caring role has ended.",7
"• set up a network of 6,000 it learning centres around the country.",4
you will never be given assignments which have not been clearly defined and for which you are not professionally trained.,1
we will provide $50 million a year for four years from the transport budget for communities to invest in safe walking and cycling facilities in and around schools.,4
"we will ensure that where developers are found to have knowingly put residents at risk in their dwellings through bad building practices, legal and financial proceedings will be brought against those developers and a ban put in place to prevent them from building future developments.",4
our inward-looking economy must become an export oriented one.,4
"our nhs will have the money it needs,",5
as the explosive growth of our cities has resulted in traffic congestion,5
labour will ensure that we continue to build on the best version of ourselves.,5
"in contrast, fine gael's plan to achieve full employment by 2020, and to sustain it, is based on growing employment broadly, across all sectors of our economy.",3
education is much more than schooling.,5
both through foreign direct investment,4
"with the right investments in the right places, our country will be the envy of the world.",6
"health is our top funding priority, with a record $16.8b to be invested this year - an extra $888m on last year.",5
"and where parents have neglected to control their children, they will be brought to account.",6
"and, we will not stand by whilst scotland is denied its fair share of public spending, particularly when the dup in northern ireland are the beneficiaries of a £1 billion brexit bung.",6
"some 300 people a day who have their benefits cut following re¬assessments are appealing against these new decisions, at a cost of £1 million a week to the taxpayer.",3
food and agriculture are of key importance to all other activities in wales.,7
"this ecological disaster, the result of federal government mismanagement, resulted in the loss of 30,000 jobs.",4
"providing education plans in youth courts, and education provision in youth justice facilities.",5
"work-place child care spaces create other benefits, recognizing the emerging literature that children benefit enormously from time with their mothers, especially when very young.",5
"provide more educational and training progression routes for those working in construction, through completion of apprenticeships and through easier progression into other higher educational technical and business disciplines.",5
"others have expressed their views at public meetings, door-to-door visits, izimbizo and interaction with anc leaders across the country.",2
hundreds more job vacancies come into work and income every week.,7
"there must also be an informed public debate about genuine regulatory, legal, and safety issues surrounding 3d printing.",4
harmonised and extended detention periods for all violent and serious crime to avoid anomalies that now exist.,6
"the scottish parliament has become the most powerful parliament of its kind in the world, with extensive powers over taxation and welfare.",3
the snp will urge the uk government to develop a trade and development policy that outlines how the uk will support development as part of its trade with developing countries.,1
"democrats know we must act now to save the health of the earth, and the health of our children, for generations to come.",5
we will continue to call for the uk government to pursue alternatives to detention.,2
"one central record saves money and time,",5
25. the eff government will establish a research and development centre focused on oil and gas refining and,4
• provide further training for school leavers.,4
"for children, this increasingly means going without.",5
"and the american people know the long bush recession reflects not just a business cycle, but a long-term slide, so that even in a fragile recovery we're sinking.",3
"furthermore, we will continue to ensure that defence policy remains firmly under british national control,",1
"identifying and addressing current and growing ecological threats due to population growth, invasive alien species and new substances such as pharmaceuticals that make their way into the ecosystem, at a cost of $100 million over 10 years.",5
"working towards a binding agreement under the convention framework, which accounts for 85 per cent of global emissions and includes many major economies (us, china, india, brazil, russia, japan, canada), and participated in on-going international climate change negotiations.",1
"labor’s investment in medicare is also grounded in strong economic analysis, with the link between investment in public health and economic prosperity clear – good health underpins economic growth.",5
"and now a single senior can earn at least $20,360 and a senior couple at least $40,720 before paying any federal income tax.",5
• settlement of maori commercial fisheries claims (the sealords deal): all such claims have now been settled and reference to treaty of waitangi obligations removed from fisheries legislation.,7
brexit will put barriers between our businesses and the world’s largest single market.,1
does it address the needs of children?,7
promoting efficient energy use,4
"in this event, ukip will also: encourage a buy british campaign: if the eu were seen to be punishing britain, we believe the home market would support home produced goods",4
and welsh identity.,6
7) establishing within the stimulus programme a €600million jobs retention fund.,4
far too many victims of child sex abuse are being let down by the services that are supposed to keep them safe.,6
"previously there were as many as four different classes of timber, including untreated timber, used to frame a house.",4
hmcs discovery – located adjacent to stanley park – was constructed in world war ii from the vancouver half company of the royal canadian navy volunteer reserve.,1
"13. a minimum of 50% of all senior positions in government must be occupied by women,",5
every victim of rape should immediately be taken to a medical professional to collect samples and to receive assistance regarding the correct use of anti-retrovirals.,5
"these include carers’ allowance, half-rate carers’ payment and the household benefits package for people who receive carer’s allowance and live with the person for whom they are caring.",5
newborns living in poverty are our most fragile citizens.,5
and to address market concerns about the threat to the national finances from the banking system.,4
"the economy can and will be more successful if we invest in our successful industries like science, innovation and engineering,",4
"we recognize that different cultures and traditions give life to these values in distinct ways,",2
"you can only build a strong, healthy and sustainable forward-thinking population on the basis of good physical and mental health, with a focus on prevention as well as treating illness.",5
"young women can be, and have been, harshly treated.",7
-» ensure all students benefit by having a teacher aide in the classroom to support the teacher.,5
"through promotion of apprenticeships in media and the arts,",5
establish a priority investment fund for māori research and development.,4
"from skill shortages in key occupations to productivity-driving opportunities in new industries, universities will be encouraged within the existing funding system to be more responsive to drivers of growth.",7
and that legal aid is provided for immigration cases;,7
"most new jobs will be created by small business, which has not been well understood by government.",4
"we have built on our close relationship by concluding new agreements in defence cooperation, civil-military cooperation, and counter-terrorism.",1
civil partnership: we will amend tax law in a second finance act in 2011 to give effect to the rights for civil partners and cohabiting couples introduced in the civil partnership act 2010.,7
and its collusion in and creation of a whole industry of tax avoidance and evasion.,4
"and impose a higher income limit, in order to redirect eu funds and ensure a decent livelihood for smaller farmers.",7
"the ifp advocates, as the most effective tool for prevention of hiv infection: abstinence; delayed sexual debut; reduction in numbers of sexual partners (especially premarital couples); more condom use (especially the femdom) among the sexually active; and greater emphasis on fidelity in marriage.",5
"the democratic party still treats it that way, even though everyone knows that its current course will lead to a financial and social disaster.",5
"the average annual wage has increased $13,000 since we came into office – twice the rate of inflation.",7
* ensure that there is a strong safety net to support those who are genuinely unable to look after themselves.,5
set up a royal commission of inquiry in to institutionalised racism,6
"just as the cold war prompted a massive reorganization of the federal government's foreign policy apparatus, the war on terror demanded a thorough reorganization of america's domestic preparedness agencies.",6
"we have raised the personal income tax allowance,",4
"and deliver social justice, we propose:",5
"every year, some 150 million gp consultations and up to forty per cent of a&e attendances are linked to mental health issues and drug or alcohol abuse, yet there are insufficient resources for doctors to refer patients to specialist care.",5
we are committed to implementing the restructuring of medical education including an increase in training places and post-graduate medical degrees.,7
• kangaroo island and the blue whales that feed around it need to be protected from offshore petroleum extraction.,5
"in addition to driving away investment when we need it, these changes will undermine, rather than build, the public support that is essential to making foreign investment work.",4
"the pearson peacekeeping centre, with its principal campus on the former cornwallis military base in nova scotia, provides unique expertise and training in peacebuilding and conflict prevention for civil and military officials from many partner countries.",1
"under national, there are more pacific people in work than a year ago,",7
employers could offer work to people from far reaching places thus spreading wealth to rural areas.,4
"investing over €7 million in 2011 for the provision of on-the-job training for up to 1,000 redundant apprentices in the public and private sectors;",4
"we also intend reducing the pay ofthose in the public sector who earn over €2,000 aweek to bring equality to the system and to protectlower earning public sector workers.",5
"it already empowers some 30,000 people across the country through 1,400 enterprises.",4
"the liberal government has been addressing these issues – e. g. , the business development bank has created a $25 million fund specifically to help women expand their businesses and to seek new market opportunities outside canada.",4
increase career transition resources for artists.,5
"develop partnerships with provincial and territorial governments, and labour and management organizations, to make ei a key resource for public training strategies and programs.",4
the centre will also take over the responsibilities of the mbs review.,5
as traditional industries face overseas competition and new industries emerge.,4
"those buying multiple farms that add up to $15 million, even over many years, would be subjected to the national interest test.",7
the referendum was a radical rejection of a status quo that is intolerable for huge numbers of people in this country.,6
"we must help state, local, territorial, and tribal law enforcement work together to combat and prevent drug crime and drug and alcohol abuse, which are blights on our communities.",6
we are providing specialist management and support when councils need help or expert advice,3
and stop targeting men and women who served in uniform and their families.,6
"continue to focus upon family health, and particularly early intervention, by expanding such programmes as ‘family start’ and home based support.",5
giving school principals more discretion as to how their school's budget is deployed,3
parents choose schools.,5
including independent and democratic unions.,2
in addition strong indigenous industries such as the tourism and agri-food sector have to be fully utilised across very region.,4
"afghans, pakistanis, and americans have a common interest in ridding the region of the taliban and other insurgent groups,",1
"we will begin by closing what has been called the “romanow gap,” identified in mr. romanow’s report and reflecting principles that go back to the period prior to 1977 when medicare services were explicitly cost-shared between the provincial and federal governments.",3
"labor will pick up the pieces and work towards providing the broadband services regional australia deserves because we understand the most important piece of infrastructure for our 21st century economy is a first-rate, fibre nbn.",4
with influence and authority when it comes to tackling the pressing international issues of the day.,6
"three programs—medicare, medicaid, and social security— account for over 40 percent of total spending.",5
"good governance is clean governance, efficient governance and above all, is delivery oriented.",3
"rural transport: fine gael recognises the importance of the rural transport programme, especially its role in protecting against rural isolation.",3
and that new zealand can continue to offer a world-class outdoor recreational experience.,5
