text,policy
our goods and services exports to the trans-pacific partnership markets were worth $107 billion in 2014-15 – a third of all our exports.,3
we will ensure that law-abiding citizens are free from unreasonable fees and the threat of criminalization.,6
"ensuring that access to the internet is protected as a basic right, in line with the united nations human rights commission’s resolution that the rights citizens enjoy offline, such as access to information, are also applicable online.",1
and to eventually ridding the planet of these catastrophic weapons.,0
the cost to government and the community of regulating drug use to be reduced with improved health and social outcomes.,4
"we will ensure that america has a 21st century digital infrastructure – robust wired and wireless broadband capability, a smarter electrical grid, and upgraded information technology infrastructure in key sectors such as health care and education.",3
"streamlined visa processes and cut red-tape for high-quality international education providers, to help them attract international students to new zealand.",5
our investment of an additional £2 billion a year in education and training will improve skills and increase the nation's knowledge base.,3
- proposed significantly streamlined planning rules for the central city living zone.,3
* give fsc certified forest companies a full five-year full tax break upon certification.,3
"and in any case the legacy of bill birch's ""think big' public debt is that there is simply no money left to throw.",2
and we will enshrine the military covenant in the nhs constitution.,0
the coalition will provide $2 million to the establishment of the hub at utas in launceston.,6
"at present, our system of accounts offers no indication of changes to our environmental assets.",4
"by taking parents on their children's educational journey with them, we not only improve the child's chances at an education, but can give their parents an opportunity to improve their own eduction.",4
end church control over education.,5
 ensure the access regime applies to all private land (including maori land) for the purposes of ensuring access to public land for all legal pursuits;,5
"a re-elected conservative government will increase support for the agri-marketing program to help promote canada's agricultural and agri-food products around the world, building on our international reputation for excellence",6
this will be essential to keep up with the disruptive impact of new technology.,3
launching the action plan to address family violence and violent crimes against aboriginal women and girls.,4
our constitution and laws guarantee equal rights for all south africans.,4
– retrofit 75% of all buildings used by the federal government and its agencies between 2006 and 2010.,4
fine gael will continue to pursue a balanced migration policy that supports our economy and meets our international and humanitarian obligations,5
"ukip has no hesitation in guaranteeing their right to remain here, whatever the eu decides with regard to the rights of british citizens overseas.",6
it would make sense to locate them in the khuphuka opportunity centres which would replace the national youth development agency (and labour centres) and would provide entrepreneurship training and advice and career counselling.,3
and get rid of interest charges on all student loans.,4
free gp visits and prescriptions for children under 13.,4
"we will oppose new taxes that increase inequality, like lifting the gst, and support new taxes on environmental harms, such as carbon pollution, and new taxes that tackle inequality, like a new marginal tax rate for millionaires.",4
"from a consumptive perspective the major energy products consumed in australia are approximately coal (37%), oil products (35%), gas (23%) and renewables (5%).",3
we will begin screening men at 30 years and specifically for prostate cancer.,4
"running a four-year bowel screening pilot, at a cost of $24 million, to help identify bowel cancer at an early stage.",4
crippling underfunding is driving up class sizes and forcing schools to cut corners.,4
• investigate the real levels of hospital debt and alternative means of accounting for and/or servicing it.,4
and prohibit mps from accepting paid lobbying work.,1
one for one – simple and fair!,4
demands made on the public health system continue to rise as people live longer and new medical technologies become available.,4
"reviewed and overhauled the rma, employment law, the ets, and electricity and building regulations.",2
ireland faces a demographic revolution for which it is largely unprepared.,4
and legislate to ban the importing of hunting trophies where the hunting does not contribute to environmental protection.,4
"abide by the provisions of the 1951 refugee convention and related international agreements,",0
"this includes protecting and promoting the district nursing service, and developing specialist services as required for people with particular needs such as children, older people and those in need of palliative care.",4
"the legislation was rooted in a historic agreement with the assembly of first nations and was backed by significant new funding for core education programming, including language and cultural programming.",5
"registered partners will be entitled to compassionate leave from employers in the event of serious illness or the death of their partner, along the lines granted to married couples.",6
"our vision is ambitious: safe and reliable childcare nationwide, allowing all parents to combine home and work, confident in the childcare they have chosen.",6
the liberals have failed for over ten years to reform parliament.,2
"open standards mean that data is stored and formatted in a way that is clearly defined and accessible, and preserves access to the data.",3
their ideas are wrong for new zealand.,2
•cut health and hospital services.,4
ensure that we retain the common travel area,0
"this requires that it is simplified, flexible, and easily measurable on its key objectives.",2
"climate change,",4
"we will work to ensure a stable constitution that is fair to the people of england, scotland, wales, and northern ireland.",1
"labour will:introduce an entirely flexible voluntary withholding tax, to let businesses meet their tax obligations at a rate of their choosing and on their own timetable, rather than the current rigid system of provisional tax.",3
"which would drive many british businesses, including most farmers, out of business.",0
"remove ‘tick-box’ and quota arrangements from sickness and disability assessments, thereby streamlining and speeding up the assessment processes",2
we will transfer the policy and science branches of fisheries and oceans to the east and west coasts to better understand and respond to the concerns of fishers.,3
"following our introduction of the intermediate care fund in the 2013 budget, plaid cymru will continue to promote adapted housing that allows residents to choose to stay in their own homes or specially-built accommodation, rather than move into care.",4
"ensure transparency in supply chains and pricing mechanisms and enhance competition to ensure value stays in the market, enabling a fairer price to farmers and processors.",6
foster closer ties between the farming and scientiﬁc communities;,6
we will also provide a modern and reformed framework for judicial expenses.,2
both parties administered a disastrous £12 billion nhs it project which ultimately failed.,4
encourage innovation and the development of small-scale appropriate technologies.,3
we are on our way to government.,2
expand publicly-funded topo-culture research through rural new zealand.,6
"the president and the democratic party believe that trafficking in persons is both an affront to our fundamental values and,",1
republicans believe that the united states must continue to work to complete a free trade agreement with the nations of the southern african customs union to create new opportunities for farmers and workers and entrepreneurs all across africa.,3
seventy per cent of those who will be in the workforce in the year 2000 are already in paid employment.,3
"pbp will reduce class sizes, working towards a maximum of 18 at primary level, at senior level 24 pupils in single age classes; 20 pupils in two-age-group classes; 15 pupils in classes of three or more age group;",4
all our people must have the opportunity to reach their full potential,4
and schemes to enable pacific islanders to start their own businesses.,6
they might be regarded as similar to medical interns who volunteer to work in especially overburdened hospitals in order to enhance their professional skills.,4
 provide home-grown timber,3
"raising the cap on medical school places will help deliver the 10,000 additional gps the profession needs by 2025.",4
"introduced the $2,000 family tax cut for families with children.",4
"new zealand first will:make excellent quality public transport for people in all major population centres, and in regional areas where there is a need, a major priority.",3
we will: increase statutory paternity leave from the current two weeks up to six weeks,4
"while donald trump wants to default on our debt, which would lead to a disastrous global economic crisis,",3
we will reaffirm the canadian government's position that nafta cannot require canada to export bulk water to other nafta countries.,3
forces struggled to find resources to investigate violent crimes.,5
" generally work to ensure that schools, sporting organisations and individuals are free to organise and participate in outdoor events without fear of legal reprisal if something not easily foreseen goes wrong;",4
the rights and reciprocal obligations consistent with being part of a collective.,5
reform the delivery of public services to ensure that they meet the needs and expectations of the public;,2
we will progressively increase funding to the marine by €25m per annum each year for five years.,6
• require transit new zealand to give greater weight to public transport.,4
"our nation is experiencing some of the greatest challenges in a generation, but it is also a time of great opportunity if we come together as a community.",5
"however, we believe that the case for reform is now overwhelming.",1
"improving pay and benefits for members of the forces, and exempting them from paying income tax on money earned while serving on high-risk international missions.",0
"or have we learnt from energy, water and rail that down that road lies private gain rather than the common good?",3
we believe this is how to make life better today and create a future where local people and businesses can thrive.,4
energy storage,3
"it is time for smart, strategic investments that will turn our economy around and get it growing again.",3
provided $6. 5 million for five new dedicated eating disorder beds at starship hospital and a new nine-bed residential service in auckland.,4
supporting those which perform well.,2
"democrats believe that our force is stronger when it reflects the richness and diversity of american society,",0
the accord went a long way toward restoring the cuts to health care of the martin years.,4
• funded pacific-language ece centres to give pacific children a better start in life.,5
"ensure that the women born in the 1950s are properly compensated for the failure of government to properly notify them of changes to the state pension age, in line with the recommendations of the parliamentary ombudsman.",4
increase localised food self-sufficiency,6
"implement “orderly” marketing where industry structures undermine reasonable market power to producers (as perceived currently in dairy, egg and sugar industries); | and",6
"unconstitutional and excessive purges of the voter rolls,",1
providing funding to cpfs on the basis of pre-determined action plans allowing them to implement community projects.,5
"we will therefore also legislate to enshrine a definition of domestic violence and abuse in law, providing the legal underpinning for everything in our new act.",5
allow pensioners and the registered unemployed to travel free of charge on subsidised local transport during off-peak hours.,4
"labour would impose a raft of new taxes on new zealanders,",3
"the inadequate funding of non-profit organisations, like children's homes and homes for people with disabilities, constitutes a violation of the basic human rights of the most vulnerable individuals in our society.",1
"eighty per cent qualified staff allows ece centres to employ other staff such as parents, grandparents, nurses or other carers.",4
"stations will be developed at five important locations: boggo road, woolloongabba, albert street, roma street and the exhibition showgrounds.",3
"increase the state pension by €30 a week and living alone allowance to €15 a week,",4
and clearly define recreational rights.,4
we will ensure nhs data is not exploited by international technology and pharmaceutical corporations.,3
"our welfare system should encourage people to work and support those who cannot due to age, incapacity or economic difficulties.",4
"in addition to the significant tax measures already described, every rural canadian tax filer will receive up front, each year, an annual green rural credit of $150.",6
an important component of such a system will be the use of victim surveys to fill the gaps left by official crime statistics as compiled by the police.,5
all students for whom public transport is not reasonably available within 90 minutes of their place of study will be eligible for the tertiary access allowance,6
every family's needs are different.,4
"we want government to encourage the sharing economy and on-demand platforms to compete in an open market,",3
"he wāhanga matua tō te whānau, tō te hapū, tō te iwi ki te ārahi i te whakarauoranga o te reo māori.",5
affordable housing is a human right.,4
parents deserve straight-forward information about the ece services in their area.,4
"end government funding of animal experimentation, including any that is outsourced to other countries.",4
"• 96 per cent of gps have access to electronic support tools to help them better assess depression, manage patients, and make referrals.",4
it imposes an unnecessary administrative burden on those wishing to do business in both jurisdictions.,2
labour is committed to spend £1.8 billion over six years on equipping our schools for the information age.,4
"prioritise brownfields sites for new developments and preserve green field sites for recreational purposes and green infrastructure, through a new national spatial plan",4
"liberal democrats in government secured the first ever income-contingent loans scheme for graduate degrees, which we will protect and seek to extend.",4
"where the local authority believes there is neither a need nor demand for social housing in or around a new development, and where there is a shortage of social and affordable units elsewhere in the local authority area, permission may be sought from housing ireland and the minister to accept a cash payment.",4
"around 850,000 free houses were built.",4
"keep record numbers of police on the beat,",5
and treating each case on its merits.,5
marketing ireland’s cities as smart cities and locations to pilot smart city innovation;,3
"this would assist to address the backlog of infrastructure projects, such as roads, bridges, community halls, libraries, paths, parks, water facilities and airports.",2
labour’s defence policy will be strategic and evidence-led.,5
social equity and ecological sustainability must be inherent in the way we respond to climate change.,4
this work was funded in budget 2011 including risk reserves and by annual increased budget allocation.,4
to develop a system of regulated companies to hire caregivers on behalf of families.,3
we must fashion imaginative ways of engaging governments and business in the effort to encourage developing nations to preserve their environmental heritage.,0
"provide more funding for the rcmp, specifically to give greater training to new recruits and specialists.",5
for the benefit of all citizens.,4
"in the light of the auld report, we will consider whether the defence should do so too.",5
where we are: a voting system rigged to benefit the powerful.,1
we called for an increase in the maintenance grant for third level students to reflect the true cost of living.,4
continue to work with the education endowment foundation to establish a comprehensive evidence base on what works in teaching.,4
• legislate so that it is an offence to carry an open container of liquor in the seating compartment of a vehicle.,5
and without brutally attacking peaceful protestors.,5
"by taking on the toughest cases, we can bring help and hope to individuals who may feel that society long ago left them behind.",4
"reliably enables governments to offer online interaction with citizens,",3
this is why we now have targets for the diversity of central government and other public services.,4
"proceed with the increased basic personal credit amounts, and the decrease in the lowest personal income tax rate, announced in november.",4
it is through this election that our beloved president nelson mandela assumed the helm with a commitment to build a better life for all south africans.,1
"we support state efforts to ensure ballot access for the elderly, the handicapped, military personnel, and all authorized voters.",1
"refocus the mandate of the canadian radio-television and telecommunications commission (crtc) to promote and protect canadian cultural industries,",4
these authorities will be chaired and coordinated by directly elected full-time mayors.,2
we entered the peace process with two goals:,4
"ensure a much stronger link between land and agrarian reform programmes and water resource allocation and ensure that the best quality of water resources reach all our people, especially the poor.",6
the territories’ economic stability and potential for growth must be considered in any trade agreements between the united states and other pacific nations.,3
since 2008 the number of maori and pacific students completing a bachelors degree has increased by 64 per cent and 84 per cent respectively,4
canadians on moderate and fixed incomes have been hit particularly hard in recent years.,4
"and an appreciation of each others' needs, interests and aspirations,",5
to facilitate the promotion of the biofuels industry.,3
"lastly, the green party government will confirm the core role of our military, clarify its purpose and equip it accordingly.",0
end all forms of homophobia and transphobia.,4
"labour’s ten-year goal is a maximum waiting time of three months as we become a healthier nation with fast, high-quality treatment, free at the point of use.",4
"kap will pursue policies that: mandate ethanol use in australia, providing structural support to grain and sugar industries;",6
"supporting tourism by ensuring irish cities are easily accessible digitally, navigable, and have apps and wi-fi to support this;",3
"protect the independence of the bbc and set up a bbc licence fee commission,",4
"-• ensure that all children have access to the best possible education, irrespective of sex, race, religion, socioeconomic background or place of residence;",4
"labour will promote the development of a south pacific conflict resolution facility, designed to serve as a regional focus for the peaceful settlement of disputes in the area.",0
32. the eff government will highlight employment targeting as the primary measure of fiscal.,6
economic mismanagement by successive governments has made new zealand a less attractive place for investment.,2
"new democrats are traders too, and consistently embrace multilateral approaches to solving global challenges.",0
"in government, the progressive democrats will enhance and strengthen the management capabilities of schools by:",2
"fianna fáil believes setting up a new delivery unit in the department of the taoiseach will help to ensure that delivery of the government programme is on track, with early identification of obstacles so that steps can be taken to rectify them.",2
under labour the tax system has become increasingly complex.,2
our standards for rented housing are among the lowest in the developed world. 2,3
these schools will work with other schools in their areas to help teachers improve the quality and quantity of physical education and sport.,4
national believes we can realise the economic benefits of new zealand's energy potential,3
"clean energy and climate change: at the recent united nations conference on climate change in montreal, prime minister martin issued a call to action in the following words:",4
"to add insult to injury, consecutive federal governments have allowed critical infrastructure to go without needed maintenance.",3
we will ensure activation schemes are of high quality and support job creation by shutting down the jobbridge and gateway schemes and making greater use of the jobsplus and community employment schemes.,4
a special deal that helps the northern ireland economy,3
and we will cut the middle class tax rates to 21 per cent from 22 per cent (a 4.5 per cent cut) and to 25 per cent from 26 per cent (a 3.8 per cent cut).,3
lgbti australians also continue to face a range of challenges in accessing government services as well as public participation in sport.,4
better flood management,3
"based on average doctors' fees, no child under five should pay more than $6 for a visit to the doctor.",4
further develop the prime minister’s youth mental health project.,4
"there will be no privatisation of meridian, genesis, and mighty river power, or transpower.",3
"this will support future policy development and better targeting of existing veterans’ support and services, as well as providing a benchmark against which homelessness prevention initiatives can be assessed and help avoid duplication of services.",4
people who might benefit from treatment should get the medical help they need so they can return to work,4
"transport costs have a disproportionate impact on the poor, who spend a significant portion of their monthly income on travel.",3
"28. the eff will establish a fund to support all african writers,",5
labour will take full responsibility for our carbon footprint instead of passing the buck.,4
"in this threatening global environment, we believe the government needs to urgently focus its spending on those who most need it,",4
$510 million to improve efficiency on the monash freeway.,3
"for more than a century, the anc has led our people in their aspiration for a united, non-racial, non-sexist, democratic and prosperous society, as the strategic goal of the national democratic revolution.",4
making more extensive use of mechanisms such as land swaps.,4
and also to ensure that we are getting the right generation in the right place.,3
"commuter rail: invest $1.6 billion to upgrade and electrify auckland commuter rail and $485 million to upgrade wellington commuter rail, alongside local councils.",3
we have a strong tradition of fostering positive interdependencies and building a robust sense of social solidarity in all our communities.,5
the president transformed the mission of the fbi to focus first and foremost on preventing terrorism.,5
report routinely and openly on budgetary surpluses.,1
 ensure there are sufficient community nurses and other welfare agencies so that people can be treated at home where possible;,4
"we will use renewed prosperity to invest in communities, raise living standards, improve quality-of-life and",4
"colleges of higher education will develop skills learnt at school, so that students are better prepared for the workplace or further studies.",4
"to allow for individuals to contest national and provincial elections,",1
"accessible and affordable childcare,",4
this includes the provision agreed to protect welfare benefits,4
"our prisons are overcrowded, understaffed, and rapidly becoming hotbeds of violence and islamist extremism.",5
"other countries are well ahead of new zealand in introducing utility approaches to roading and sophisticated, user-friendly pricing technologies.",3
"in his trip to washington in late april, prime minister martin also met with the leadership of the congress, a vital centre of decision-making in the u.s. government.",0
we will reform corporate governance to protect our leading firms from the pressure to put tomorrow’s share price before long-term growth potential.,3
"improve the basic skills of reading, writing and numeracy, especially at the elementary levels",4
"require local authorities to zone specific areas within their development plans in locations that will gain from transport 21 investments to establish a clear link between additional private gains, such as higher house prices,",2
"such as with part-time work, and to help carers re-integrate back into the work place once their caring role has ended.",6
"• set up a network of 6,000 it learning centres around the country.",3
you will never be given assignments which have not been clearly defined and for which you are not professionally trained.,0
we will provide $50 million a year for four years from the transport budget for communities to invest in safe walking and cycling facilities in and around schools.,3
"we will ensure that where developers are found to have knowingly put residents at risk in their dwellings through bad building practices, legal and financial proceedings will be brought against those developers and a ban put in place to prevent them from building future developments.",3
our inward-looking economy must become an export oriented one.,3
"our nhs will have the money it needs,",4
as the explosive growth of our cities has resulted in traffic congestion,4
labour will ensure that we continue to build on the best version of ourselves.,4
"in contrast, fine gael's plan to achieve full employment by 2020, and to sustain it, is based on growing employment broadly, across all sectors of our economy.",2
education is much more than schooling.,4
both through foreign direct investment,3
"with the right investments in the right places, our country will be the envy of the world.",5
"health is our top funding priority, with a record $16.8b to be invested this year - an extra $888m on last year.",4
"and where parents have neglected to control their children, they will be brought to account.",5
"and, we will not stand by whilst scotland is denied its fair share of public spending, particularly when the dup in northern ireland are the beneficiaries of a £1 billion brexit bung.",5
"some 300 people a day who have their benefits cut following re¬assessments are appealing against these new decisions, at a cost of £1 million a week to the taxpayer.",2
food and agriculture are of key importance to all other activities in wales.,6
"this ecological disaster, the result of federal government mismanagement, resulted in the loss of 30,000 jobs.",3
"providing education plans in youth courts, and education provision in youth justice facilities.",4
"work-place child care spaces create other benefits, recognizing the emerging literature that children benefit enormously from time with their mothers, especially when very young.",4
"provide more educational and training progression routes for those working in construction, through completion of apprenticeships and through easier progression into other higher educational technical and business disciplines.",4
"others have expressed their views at public meetings, door-to-door visits, izimbizo and interaction with anc leaders across the country.",1
hundreds more job vacancies come into work and income every week.,6
"there must also be an informed public debate about genuine regulatory, legal, and safety issues surrounding 3d printing.",3
harmonised and extended detention periods for all violent and serious crime to avoid anomalies that now exist.,5
"the scottish parliament has become the most powerful parliament of its kind in the world, with extensive powers over taxation and welfare.",2
the snp will urge the uk government to develop a trade and development policy that outlines how the uk will support development as part of its trade with developing countries.,0
"democrats know we must act now to save the health of the earth, and the health of our children, for generations to come.",4
we will continue to call for the uk government to pursue alternatives to detention.,1
"one central record saves money and time,",4
25. the eff government will establish a research and development centre focused on oil and gas refining and,3
• provide further training for school leavers.,3
"for children, this increasingly means going without.",4
"and the american people know the long bush recession reflects not just a business cycle, but a long-term slide, so that even in a fragile recovery we're sinking.",2
"furthermore, we will continue to ensure that defence policy remains firmly under british national control,",0
"identifying and addressing current and growing ecological threats due to population growth, invasive alien species and new substances such as pharmaceuticals that make their way into the ecosystem, at a cost of $100 million over 10 years.",4
"working towards a binding agreement under the convention framework, which accounts for 85 per cent of global emissions and includes many major economies (us, china, india, brazil, russia, japan, canada), and participated in on-going international climate change negotiations.",0
"labor’s investment in medicare is also grounded in strong economic analysis, with the link between investment in public health and economic prosperity clear – good health underpins economic growth.",4
"and now a single senior can earn at least $20,360 and a senior couple at least $40,720 before paying any federal income tax.",4
• settlement of maori commercial fisheries claims (the sealords deal): all such claims have now been settled and reference to treaty of waitangi obligations removed from fisheries legislation.,6
brexit will put barriers between our businesses and the world’s largest single market.,0
does it address the needs of children?,6
promoting efficient energy use,3
"in this event, ukip will also: encourage a buy british campaign: if the eu were seen to be punishing britain, we believe the home market would support home produced goods",3
and welsh identity.,5
7) establishing within the stimulus programme a €600million jobs retention fund.,3
far too many victims of child sex abuse are being let down by the services that are supposed to keep them safe.,5
"previously there were as many as four different classes of timber, including untreated timber, used to frame a house.",3
hmcs discovery – located adjacent to stanley park – was constructed in world war ii from the vancouver half company of the royal canadian navy volunteer reserve.,0
"13. a minimum of 50% of all senior positions in government must be occupied by women,",4
every victim of rape should immediately be taken to a medical professional to collect samples and to receive assistance regarding the correct use of anti-retrovirals.,4
"these include carers’ allowance, half-rate carers’ payment and the household benefits package for people who receive carer’s allowance and live with the person for whom they are caring.",4
newborns living in poverty are our most fragile citizens.,4
and to address market concerns about the threat to the national finances from the banking system.,3
"the economy can and will be more successful if we invest in our successful industries like science, innovation and engineering,",3
"we recognize that different cultures and traditions give life to these values in distinct ways,",1
"you can only build a strong, healthy and sustainable forward-thinking population on the basis of good physical and mental health, with a focus on prevention as well as treating illness.",4
"young women can be, and have been, harshly treated.",6
-» ensure all students benefit by having a teacher aide in the classroom to support the teacher.,4
"through promotion of apprenticeships in media and the arts,",4
establish a priority investment fund for māori research and development.,3
"from skill shortages in key occupations to productivity-driving opportunities in new industries, universities will be encouraged within the existing funding system to be more responsive to drivers of growth.",6
and that legal aid is provided for immigration cases;,6
"most new jobs will be created by small business, which has not been well understood by government.",3
"we have built on our close relationship by concluding new agreements in defence cooperation, civil-military cooperation, and counter-terrorism.",0
civil partnership: we will amend tax law in a second finance act in 2011 to give effect to the rights for civil partners and cohabiting couples introduced in the civil partnership act 2010.,6
and its collusion in and creation of a whole industry of tax avoidance and evasion.,3
"and impose a higher income limit, in order to redirect eu funds and ensure a decent livelihood for smaller farmers.",6
"the ifp advocates, as the most effective tool for prevention of hiv infection: abstinence; delayed sexual debut; reduction in numbers of sexual partners (especially premarital couples); more condom use (especially the femdom) among the sexually active; and greater emphasis on fidelity in marriage.",4
"the democratic party still treats it that way, even though everyone knows that its current course will lead to a financial and social disaster.",4
"the average annual wage has increased $13,000 since we came into office – twice the rate of inflation.",6
* ensure that there is a strong safety net to support those who are genuinely unable to look after themselves.,4
set up a royal commission of inquiry in to institutionalised racism,5
"just as the cold war prompted a massive reorganization of the federal government's foreign policy apparatus, the war on terror demanded a thorough reorganization of america's domestic preparedness agencies.",5
"we have raised the personal income tax allowance,",3
"and deliver social justice, we propose:",4
"every year, some 150 million gp consultations and up to forty per cent of a&e attendances are linked to mental health issues and drug or alcohol abuse, yet there are insufficient resources for doctors to refer patients to specialist care.",4
we are committed to implementing the restructuring of medical education including an increase in training places and post-graduate medical degrees.,6
• kangaroo island and the blue whales that feed around it need to be protected from offshore petroleum extraction.,4
"in addition to driving away investment when we need it, these changes will undermine, rather than build, the public support that is essential to making foreign investment work.",3
"the pearson peacekeeping centre, with its principal campus on the former cornwallis military base in nova scotia, provides unique expertise and training in peacebuilding and conflict prevention for civil and military officials from many partner countries.",0
"under national, there are more pacific people in work than a year ago,",6
employers could offer work to people from far reaching places thus spreading wealth to rural areas.,3
"investing over €7 million in 2011 for the provision of on-the-job training for up to 1,000 redundant apprentices in the public and private sectors;",3
"we also intend reducing the pay ofthose in the public sector who earn over €2,000 aweek to bring equality to the system and to protectlower earning public sector workers.",4
"it already empowers some 30,000 people across the country through 1,400 enterprises.",3
"the liberal government has been addressing these issues – e. g. , the business development bank has created a $25 million fund specifically to help women expand their businesses and to seek new market opportunities outside canada.",3
increase career transition resources for artists.,4
"develop partnerships with provincial and territorial governments, and labour and management organizations, to make ei a key resource for public training strategies and programs.",3
the centre will also take over the responsibilities of the mbs review.,4
as traditional industries face overseas competition and new industries emerge.,3
"those buying multiple farms that add up to $15 million, even over many years, would be subjected to the national interest test.",6
the referendum was a radical rejection of a status quo that is intolerable for huge numbers of people in this country.,5
"we must help state, local, territorial, and tribal law enforcement work together to combat and prevent drug crime and drug and alcohol abuse, which are blights on our communities.",5
we are providing specialist management and support when councils need help or expert advice,2
and stop targeting men and women who served in uniform and their families.,5
"continue to focus upon family health, and particularly early intervention, by expanding such programmes as ‘family start’ and home based support.",4
giving school principals more discretion as to how their school's budget is deployed,2
parents choose schools.,4
including independent and democratic unions.,1
in addition strong indigenous industries such as the tourism and agri-food sector have to be fully utilised across very region.,3
"afghans, pakistanis, and americans have a common interest in ridding the region of the taliban and other insurgent groups,",0
"we will begin by closing what has been called the “romanow gap,” identified in mr. romanow’s report and reflecting principles that go back to the period prior to 1977 when medicare services were explicitly cost-shared between the provincial and federal governments.",2
"labor will pick up the pieces and work towards providing the broadband services regional australia deserves because we understand the most important piece of infrastructure for our 21st century economy is a first-rate, fibre nbn.",3
with influence and authority when it comes to tackling the pressing international issues of the day.,5
"three programs—medicare, medicaid, and social security— account for over 40 percent of total spending.",4
"good governance is clean governance, efficient governance and above all, is delivery oriented.",2
"rural transport: fine gael recognises the importance of the rural transport programme, especially its role in protecting against rural isolation.",2
and that new zealand can continue to offer a world-class outdoor recreational experience.,4
it will also take a major role in making sure our borders are open and security measures are reasonable and not unwarrantedly excessive.,0
